id,title,venue,Label,step25_pred,new_pred,rubric_pred,rubric_conf,rubric_gap,threshold_margin,core_context,risky_context,delta,core_asp,logic_programming,kr_reasoning,formal_adjacent,ml_adjacent,meta
35,Towards Incorporating Normative Requirements In Autonomous Systems Using Datalog.,iclp,3,2,1,1,0.33965058454436237,0.13755739073572984,0.0030723851475089603,True,False,-1,0,1,0,0,0,0
258,When is a Program an Actual Cause?,iclp,4,3,2,1,0.3716528698512943,0.17336691517910646,0.009125976192824403,False,False,-1,0,0,0,0,0,0
1259,Some Complexity Results on Inconsistency Measurement.,kr,3,2,1,1,0.34563233949162925,0.14553102288668782,0.002623097700939603,False,False,-1,0,0,1,0,0,0
2387,Diagrammatic Algebra of First Order Logic.,lics,3,3,2,1,0.34286490832898076,0.13879486934772906,0.00815277556640881,False,False,-1,0,0,0,0,0,0
2,Learning and Contesting Assumption-based Argumentation Frameworks (Invited Talk).,iclp,2,3,2,1,0.3470551992768082,0.15304547682303646,8.603228013104314e-05,False,True,1,0,0,1,0,1,1
265,Formalizing Informal Logic and Natural Language Deductivism.,iclp,3,5,4,1,0.34696553356537463,0.1490921657657673,0.01637872665719442,True,False,1,1,0,0,0,0,0
402,Cumulative Scoring-Based Induction of Default Theories.,iclp,1,3,2,1,0.3362937725709137,0.13128066585225687,0.003553400286286923,True,False,1,1,1,0,0,0,0
1280,A Fixpoint Characterisation of Temporal Equilibrium Logic.,lpnmr,2,3,2,1,0.36686739965575765,0.15501783201667899,0.0220935759226899,True,False,1,1,1,1,0,0,0
2172,Synthesis with Abstract Examples.,cav,3,4,3,1,0.3602758615769606,0.1565081527527701,0.022089368744259374,False,True,1,0,0,0,1,0,0
2241,Qlose: Program Repair with Quantitative Objectives.,cav,1,2,1,1,0.3325389743922513,0.12820111583765736,0.002445430338597898,False,True,1,0,0,0,1,0,0
